100
1 14 3
2 15 10
3 4 15
4 16 10
5 2 9
6 15 4
7 14 4
8 16 8
9 8 11
10 14 1
11 9 5
12 11 17
13 14 2
14 2 8
15 3 5
16 12 8
17 1 16
18 8 6
19 3 12
20 11 16
21 8 9
22 19 15
23 9 5
24 4 9
25 6 6
26 12 5
27 3 18
28 3 10
29 2 10
30 3 12
31 16 11
32 10 1
33 10 7
34 8 14
35 2 11
36 4 19
37 6 18
38 10 17
39 13 1
40 18 13
41 12 1
42 12 2
43 6 17
44 8 9
45 14 19
46 16 11
47 19 5
48 10 14
49 5 8
50 16 18
51 8 17
52 10 14
53 3 18
54 6 5
55 3 13
56 18 18
57 15 17
58 8 18
59 2 18
60 19 17
61 1 10
62 2 15
63 9 3
64 12 3
65 9 19
66 11 3
67 12 15
68 9 3
69 7 13
70 5 6
71 6 2
72 2 8
73 13 12
74 14 13
75 4 11
76 17 8
77 7 12
78 8 14
79 19 17
80 3 15
81 15 11
82 15 11
83 6 15
84 17 13
85 9 5
86 17 2
87 2 12
88 15 13
89 14 12
90 2 10
91 11 3
92 2 4
93 15 14
94 11 8
95 14 15
96 15 19
97 14 11
98 16 2
99 5 12
100 14 5
9822
