150
1 5 17
2 28 19
3 19 15
4 8 28
5 14 13
6 4 19
7 11 19
8 19 17
9 28 24
10 12 26
11 5 3
12 12 9
13 9 25
14 20 2
15 28 21
16 17 12
17 22 16
18 18 22
19 15 20
20 11 8
21 18 9
22 20 3
23 10 10
24 17 4
25 5 23
26 25 19
27 13 9
28 15 13
29 6 24
30 8 27
31 1 27
32 6 15
33 24 5
34 11 13
35 23 11
36 27 28
37 19 20
38 16 20
39 21 5
40 15 20
41 10 18
42 17 6
43 28 28
44 23 15
45 1 7
46 15 12
47 14 23
48 14 2
49 3 16
50 2 20
51 21 25
52 18 17
53 9 5
54 19 1
55 17 13
56 20 11
57 25 5
58 17 25
59 6 25
60 7 6
61 18 11
62 20 23
63 26 19
64 27 22
65 13 1
66 22 5
67 20 1
68 16 21
69 10 14
70 12 4
71 9 22
72 16 21
73 1 26
74 23 16
75 13 4
76 18 19
77 10 19
78 23 8
79 7 23
80 20 5
81 1 5
82 11 27
83 25 5
84 25 19
85 16 19
86 7 1
87 26 27
88 11 23
89 1 13
90 10 2
91 18 16
92 14 28
93 19 19
94 22 25
95 14 7
96 4 23
97 4 2
98 28 25
99 17 18
100 7 11
101 21 13
102 12 15
103 10 4
104 1 4
105 4 24
106 28 2
107 8 5
108 11 7
109 25 28
110 19 24
111 17 27
112 2 14
113 24 20
114 26 7
115 1 17
116 9 2
117 14 5
118 14 28
119 5 23
120 17 12
121 24 26
122 18 6
123 12 12
124 13 21
125 21 3
126 5 28
127 27 2
128 16 10
129 18 9
130 15 13
131 19 8
132 27 26
133 4 10
134 17 3
135 8 1
136 9 12
137 19 28
138 16 17
139 23 3
140 9 20
141 17 21
142 27 24
143 7 27
144 13 12
145 10 8
146 6 7
147 19 13
148 26 8
149 16 18
150 9 7
33121
