200
1 13 21
2 5 17
3 6 19
4 3 22
5 15 21
6 1 11
7 2 15
8 18 10
9 17 6
10 19 5
11 11 27
12 13 11
13 7 10
14 10 23
15 16 16
16 16 16
17 1 24
18 7 8
19 14 6
20 9 19
21 14 24
22 17 13
23 14 6
24 6 15
25 14 3
26 18 16
27 12 8
28 1 28
29 5 28
30 19 4
31 1 12
32 6 4
33 3 4
34 5 17
35 4 20
36 12 16
37 7 5
38 14 21
39 17 28
40 14 16
41 4 2
42 8 23
43 8 12
44 11 17
45 18 25
46 2 5
47 11 24
48 6 12
49 2 9
50 8 8
51 12 10
52 4 21
53 8 14
54 16 18
55 17 16
56 18 25
57 13 22
58 16 6
59 3 12
60 5 15
61 7 4
62 5 20
63 1 16
64 11 22
65 19 16
66 3 20
67 4 13
68 19 24
69 19 16
70 6 27
71 14 27
72 7 22
73 17 4
74 14 10
75 9 1
76 19 25
77 12 6
78 3 4
79 12 21
80 10 9
81 15 18
82 9 10
83 17 13
84 10 20
85 2 23
86 5 21
87 5 26
88 4 21
89 17 1
90 17 4
91 5 26
92 2 16
93 6 10
94 13 17
95 9 19
96 3 28
97 17 26
98 9 23
99 8 21
100 11 2
101 10 8
102 5 4
103 7 22
104 15 9
105 8 28
106 3 12
107 8 16
108 8 12
109 19 15
110 1 25
111 17 19
112 12 7
113 9 9
114 16 4
115 14 8
116 4 23
117 1 5
118 4 25
119 19 9
120 6 23
121 6 23
122 10 9
123 16 15
124 18 15
125 1 22
126 8 17
127 15 23
128 4 2
129 15 18
130 15 27
131 10 7
132 11 6
133 11 14
134 13 22
135 3 12
136 5 3
137 2 18
138 14 3
139 4 2
140 8 24
141 12 9
142 12 10
143 14 2
144 2 11
145 4 6
146 2 27
147 15 9
148 5 6
149 1 13
150 1 25
151 3 3
152 16 7
153 4 14
154 12 10
155 6 21
156 5 6
157 17 14
158 16 15
159 4 23
160 16 3
161 17 26
162 13 25
163 15 4
164 15 23
165 1 6
166 8 18
167 14 8
168 14 13
169 12 23
170 11 7
171 18 27
172 11 6
173 19 28
174 5 20
175 18 23
176 1 15
177 18 22
178 3 18
179 12 9
180 1 19
181 7 1
182 10 11
183 3 13
184 17 25
185 8 5
186 8 20
187 2 22
188 19 15
189 11 7
190 5 15
191 10 8
192 1 6
193 10 1
194 9 22
195 5 15
196 1 17
197 13 3
198 12 28
199 9 6
200 2 18
28091
